"","county","tract","pct_hhold_no_veh","pct_hhold_1_veh","pct_hhold_2plus_veh","population2018"
"1","167","930300",0.0299600532623169,0.256990679094541,0.713049267643142,3862
"2","167","930500",0.0776699029126214,0.389096340552651,0.533233756534727,3416
"3","167","930700",0.0184049079754601,0.208588957055215,0.773006134969325,5259
"4","167","930801",0.0308483290488432,0.284832904884319,0.684318766066838,4664
"5","167","930802",0.0080413555427915,0.206203331418725,0.785755313038484,4743
"6","167","930900",0.0324483775811209,0.223767383059418,0.743784239359461,5851
"7","167","931000",0.00603448275862069,0.181896551724138,0.812068965517241,5872
"8","167","931100",0.0370860927152318,0.227814569536424,0.735099337748344,5428
"9","167","931201",0.136816912644595,0.406063023534105,0.4571200638213,5915
"10","167","931202",0.0954356846473029,0.243983402489627,0.660580912863071,3163
"11","169","070503",0.0199186991869919,0.203252032520325,0.776829268292683,6201
"12","169","070504",0.0228408279800143,0.276231263383298,0.700927908636688,3472
"13","171","930101",0.054320987654321,0.180246913580247,0.765432098765432,2014
"14","171","930102",0.0305429864253394,0.179864253393665,0.789592760180995,4634
"15","171","930201",0.075712143928036,0.316341829085457,0.607946026986507,3082
"16","171","930400",0.211162790697674,0.378604651162791,0.410232558139535,2721
"17","171","930202",0.0884057971014493,0.283333333333333,0.628260869565217,3170
"18","171","930301",0.0876068376068376,0.181623931623932,0.730769230769231,2153
"19","171","930302",0.107825015403574,0.431916204559458,0.460258780036969,3523
"20","171","930501",0.0627177700348432,0.289198606271777,0.64808362369338,2875
"21","171","930502",0.117231638418079,0.399011299435028,0.483757062146893,3381
"22","165","010500",0.0520951302378256,0.336353340883352,0.611551528878822,6884
"23","069","060600",0.0342857142857143,0.213142857142857,0.752571428571429,9525
"24","069","060200",0.0317460317460317,0.15527950310559,0.812974465148378,3717
"25","069","060700",0.029769392033543,0.254926624737945,0.715303983228512,5874
"26","101","041300",0.0221920289855072,0.258605072463768,0.719202898550725,6704
"27","101","040500",0.0291683090264091,0.339771383523847,0.631060307449744,6451
"28","101","040100",0.0500900900900901,0.354954954954955,0.594954954954955,7475
"29","101","040400",0.0400471142520612,0.194935217903416,0.765017667844523,4620
"30","101","040700",0.0938356164383562,0.345890410958904,0.56027397260274,3987
"31","101","040800",0.0960415314730694,0.443867618429591,0.460090850097339,3534
"32","101","040600",0.222752585521082,0.195704057279236,0.581543357199682,3826
"33","101","041400",0.0461593941579517,0.264695275874504,0.689145329967544,7606
"34","113","970200",0,0.388991960420532,0.611008039579468,3804
"35","113","970600",0.0857359635811836,0.277693474962064,0.636570561456753,5653
"36","113","970700",0.0444292549555707,0.279220779220779,0.67634996582365,6541
"37","113","970400",0.0663641520136132,0.322178105501985,0.611457742484402,3772
"38","113","970100",0.0465890183028286,0.272046589018303,0.681364392678869,2597
"39","081","011102",0.159090909090909,0.437747035573123,0.403162055335968,2623
"40","081","011200",0.207897240723121,0.509039010466223,0.283063748810656,5997
"41","081","011300",0.208688906128782,0.339798293250582,0.451512800620636,3247
"42","081","011400",0.265327695560254,0.458245243128964,0.276427061310782,5462
"43","081","010100",0.128571428571429,0.419047619047619,0.452380952380952,1965
"44","081","010602",0.0431952662721894,0.39112426035503,0.565680473372781,4502
"45","081","010701",0.0782064650677789,0.409801876955162,0.511991657977059,2151
"46","081","011000",0.254826254826255,0.420849420849421,0.324324324324324,5173
"47","081","011601",0.0761697497279652,0.379760609357998,0.544069640914037,2512
"48","081","012607",0.018161180476731,0.293984108967083,0.687854710556186,2519
"49","081","012612",0.0340642129992169,0.391542678151919,0.574393108848865,6900
"50","081","012704",0.177027027027027,0.397297297297297,0.425675675675676,3741
"51","081","012705",0.0908505154639175,0.481958762886598,0.427190721649485,3461
"52","081","012803",0.037075900664568,0.221056313396292,0.74186778593914,8650
"53","081","014502",0.0586894586894587,0.451851851851852,0.489458689458689,5171
"54","021","000200",0.0997067448680352,0.464809384164223,0.435483870967742,1505
"55","021","000600",0.0772946859903382,0.405797101449275,0.516908212560386,1945
"56","021","001400",0.0253390435403283,0.472876516773733,0.501784439685939,6322
"57","021","000500",0.0244192972007147,0.437164979154259,0.538415723645027,3526
"58","021","002102",0.0819450697883836,0.380459252588924,0.537595677622692,5533
"59","021","003001",0.0267291264811243,0.31082942959493,0.662441443923946,8845
"60","021","001900",0.0476190476190476,0.493734335839599,0.458646616541353,3837
"61","021","003102",0.083509067903838,0.346689160691691,0.569801771404471,5727
"62","021","001200",0.0559540889526542,0.330463892874223,0.613582018173123,5241
"63","021","001500",0.0473977695167286,0.314126394052045,0.638475836431227,2581
"64","021","000700",0.0425531914893617,0.52887537993921,0.428571428571429,1394
"65","021","001600",0.0179816513761468,0.379816513761468,0.602201834862385,6564
"66","021","002000",0.0853314527503526,0.449576868829337,0.46509167842031,6283
"67","021","002101",0,0.266875981161695,0.733124018838305,1538
"68","021","003002",0.0309888579387187,0.349233983286908,0.619777158774373,6738
"69","021","001300",0.0455555555555556,0.38,0.574444444444444,4246
"70","021","002900",0.0303244005641749,0.196755994358251,0.772919605077574,3639
"71","021","001700",0.0291497975708502,0.250202429149798,0.720647773279352,2707
"72","023","020201",0.00588004704037632,0.258722069776558,0.735397883183065,6588
"73","023","020802",0.018037518037518,0.303751803751804,0.678210678210678,3700
"74","023","020600",0.114754098360656,0.419854280510018,0.465391621129326,4993
"75","023","021100",0.0363854458216713,0.263894442223111,0.699720111955218,6388
"76","023","020100",0.0456100342075257,0.315279361459521,0.639110604332953,4557
"77","023","021201",0.0205920205920206,0.37001287001287,0.609395109395109,3664
