"","state","county","x2010_census_population","population_estimate_2011","population_estimate_2012","population_estimate_2013","population_estimate_2014","population_estimate_2015","population_estimate_2016","population_estimate_2018","pct_black_pop_2018","pct_white_pop_2018","pct_white_pop_2010","pct_black_pop_2010"
"36","North Carolina","071","206,086","206,979","208,128","209,384","210,921","213,366","216,965",216585,0.159826396103147,0.769379227555002,0.78203274361189,0.152513999010122
"37","North Carolina","073","12,197","12,076","11,919","11,667","11,562","11,448","11,478",11563,0.336504367378708,0.632967223039004,0.636877920800197,0.331556940231204
"38","North Carolina","075","8,861","8,792","8,707","8,734","8,648","8,610","8,558",8557,0.00151922402711231,0.878111487670913,0.903284053718542,0.00191851935447466
"39","North Carolina","077","59,916","57,657","57,764","58,034","58,329","58,549","59,031",58874,0.304429799232259,0.610235418011346,0.604262634354763,0.327992522865345
"40","North Carolina","079","21,362","21,679","21,392","21,217","21,236","21,190","21,168",21008,0.357102056359482,0.584348819497334,0.507911244265518,0.372811534500515
"41","North Carolina","081","488,406","495,129","500,841","506,794","512,562","517,548","521,330",523582,0.33764529720273,0.557811383890202,0.57027350196353,0.32534203101518
"42","North Carolina","083","54,691","54,189","53,866","53,318","52,971","52,323","51,766",51737,0.528693198291358,0.400892977946151,0.400248669799419,0.532244793476075
"43","North Carolina","085","114,678","119,211","122,220","125,095","126,780","128,124","130,881",130361,0.208375204240532,0.674971809053321,0.682781353005808,0.2090461989222
"44","North Carolina","087","59,036","58,714","58,796","59,131","59,376","59,899","60,682",60433,0.0102096536660434,0.956067049459732,0.955433972491361,0.0105698218036452
"45","North Carolina","089","106,740","107,474","108,014","109,269","110,707","112,327","114,209",113625,0.0331001100110011,0.907634763476348,0.88920741989882,0.0302042345887203
"46","North Carolina","091","24,669","24,520","24,414","24,400","24,368","24,108","24,136",24153,0.595246967250445,0.348528133151161,0.356155498804167,0.605334630507925
"47","North Carolina","093","46,952","49,401","50,413","51,109","51,640","52,841","53,262",53239,0.333214372922106,0.451792858618682,0.453058442664849,0.334724825353553
"48","North Carolina","095","5,810","5,827","5,736","5,726","5,662","5,503","5,517",5393,0.303356202484702,0.663452623771556,0.639931153184165,0.316006884681583
"49","North Carolina","097","159,437","161,111","162,823","164,811","166,921","169,992","172,916",172525,0.123048833502391,0.815962903926967,0.806876697378902,0.119464114352377
"50","North Carolina","099","40,271","40,202","40,560","41,020","40,985","41,327","42,241",42256,0.0233339644074214,0.836969897765998,0.831590971170321,0.0184996647711753
"51","North Carolina","101","168,878","172,835","174,837","177,729","181,025","185,733","191,450",191172,0.156074111271525,0.775181511936895,0.742245881642369,0.151268963393693
"52","North Carolina","103","10,153","10,261","10,272","10,194","10,060","10,000","9,845",9695,0.312325941206808,0.656317689530686,0.629863094651827,0.323943661971831
"53","North Carolina","105","57,866","58,549","59,341","59,857","59,449","59,438","59,616",60125,0.197954261954262,0.733837837837838,0.66857913109598,0.19985829329831
"54","North Carolina","107","59,495","59,484","59,166","58,831","58,372","58,041","57,307",57227,0.393800129309592,0.550002621140371,0.533792755693756,0.405429027649382
"55","North Carolina","109","78,265","78,185","78,612","79,089","79,474","80,574","81,168",81441,0.0499379919205314,0.89167618275807,0.89363061393982,0.0554526288890309
"56","North Carolina","111","44,996","44,974","45,006","44,990","45,029","44,963","45,075",45109,0.0360238533330378,0.910594338158682,0.905724953329185,0.0379589296826385
